nome,renda,idade,etnia,sexo,casapropria,outrasrendas,estadocivil,escolaridade
"Manley, Peel",3526.7759463827842,40.18896426252989,0,0,0,0,1,1
"Jehu, Mendez",2778.3255635142273,40.7676744544152,1,0,0,0,0,0
"Abdul Baari, al-Muhammed",3713.987219571292,42.495401137722816,0,0,0,0,0,2
"Samuel, Mekonnen",5079.662010543712,36.42245144485706,0,0,1,0,1,0
"Michael, Navajo",2686.5034644621223,40.99239845256387,1,0,0,1,0,1
"Kirsten, Mata",3713.904207922616,26.004889552789635,1,1,0,0,0,2
"Austin, Ruge",3389.104229103287,25.592883011750043,0,0,1,1,1,1
"Diana, Lara",2069.465647880227,51.222403143579456,1,1,0,0,0,2
"David, Mow",4970.952673478066,24.956632513425472,1,0,1,0,1,2
"Calvin, Peterson",4752.5158751443805,56.272426393081176,1,0,1,0,1,1
"Tanae, Halingstad",2410.7160585089205,35.70797863013787,1,1,0,1,1,2
"Nicholas, Seeberger",4409.664543938944,35.65197094492455,0,0,1,0,0,2
"Samantha, Parmiter",2919.3017109871985,30.202274786222464,0,1,0,0,0,2
"Seungwan, Mancilla",3422.571934113884,33.04259055691365,0,0,1,1,1,1
"Jay, Mowers",3966.588251190615,25.249500963197796,1,0,1,0,0,2
"Jhavone, Jeffries",3883.9629633503473,48.36741630694139,1,1,1,0,1,1
"Nicholas, Perkins",3656.8939642264054,40.61958769806809,0,0,0,0,0,3
"Vincent, Fifita",4852.663250047357,21.474202069453895,0,0,0,1,0,2
"Kristen, Almony",3586.9009968525643,43.02181191088379,1,1,1,1,1,2
"Damien, Pigford",3854.6362786002856,18.315770836462796,0,0,0,0,1,3
"Macennia, Buccieri",2040.4354178525516,52.54150076631715,1,1,0,0,0,2
"Savannah, Fuentes",3280.1874018454046,57.243649231277985,0,1,1,0,1,0
"Andrew, Tefera",2578.917357324971,43.74280365970102,1,0,1,0,1,3
"Lars, Hammond",3646.6116841567055,42.473564011516125,1,0,1,0,1,1
"Celine, Maier",4263.526292931006,26.67076564473456,1,1,1,0,1,0
"Cole, Nault",4783.881427905077,34.26774292961274,1,0,1,0,1,2
"Kyle, Crowell",4819.102823988537,43.43152093049689,0,0,1,1,1,1
"Gary, Abrahms",3618.4359214670385,20.36626569735885,0,0,0,0,0,3
"Siraj, Epigat",3168.357171085444,58.50402735795291,0,0,0,0,0,2
"Wadha, el-Saleem",3960.030180121704,49.5642318343132,0,1,1,0,1,2
"Kayla, Limary",4673.443812433653,39.378616674155,1,1,1,1,1,2
"Toua, Schlose",3637.4741929656775,57.48250181361995,1,0,1,0,1,3
"Alexa, Unger",3219.0881421756058,20.964550733353253,1,1,0,0,1,1
